Date,Open,High,Low,Close,Volume,Adj Close,Buy
7/22/2016,99.260002,99.300003,98.309998,98.660004,28177200,98.660004,1
7/21/2016,99.830002,101,99.129997,99.43,31792000,99.43,1
7/20/2016,100,100.459999,99.739998,99.959999,26276000,99.959999,0
7/19/2016,99.559998,100,99.339996,99.870003,23779900,99.870003,1
7/18/2016,98.699997,100.129997,98.599998,99.830002,36493900,99.830002,1
7/15/2016,98.919998,99.300003,98.5,98.779999,30137000,98.779999,0
7/14/2016,97.389999,98.989998,97.32,98.790001,38919000,98.790001,0
7/13/2016,97.410004,97.669998,96.839996,96.870003,25892200,96.870003,0
7/12/2016,97.169998,97.699997,97.120003,97.419998,24167500,97.419998,1
7/11/2016,96.75,97.650002,96.730003,96.980003,23794900,96.980003,0
7/8/2016,96.489998,96.889999,96.050003,96.68,28912100,96.68,1
7/7/2016,95.699997,96.5,95.620003,95.940002,25139600,95.940002,1
7/6/2016,94.599998,95.660004,94.370003,95.529999,30949100,95.529999,1
7/5/2016,95.389999,95.400002,94.459999,94.989998,27705200,94.989998,0
7/1/2016,95.489998,96.470001,95.330002,95.889999,26026500,95.889999,1
6/30/2016,94.440002,95.769997,94.300003,95.599998,35836400,95.599998,1
6/29/2016,93.970001,94.550003,93.629997,94.400002,36531000,94.400002,1
6/28/2016,92.900002,93.660004,92.139999,93.589996,40444900,93.589996,1
6/27/2016,93,93.050003,91.5,92.040001,45489600,92.040001,0
6/24/2016,92.910004,94.660004,92.650002,93.400002,75311400,93.400002,1
6/23/2016,95.940002,96.290001,95.25,96.099998,32240200,96.099998,1
6/22/2016,96.25,96.889999,95.349998,95.550003,29219100,95.550003,0
6/21/2016,94.940002,96.349998,94.68,95.910004,35546400,95.910004,1
6/20/2016,96,96.57,95.029999,95.099998,34411900,95.099998,1
6/17/2016,96.620003,96.650002,95.300003,95.330002,61008200,95.330002,0
6/16/2016,96.449997,97.75,96.07,97.550003,31326800,97.550003,1
6/15/2016,97.82,98.410004,97.029999,97.139999,29445200,97.139999,1
6/14/2016,97.32,98.480003,96.75,97.459999,31931900,97.459999,0
6/13/2016,98.690002,99.120003,97.099998,97.339996,38020500,97.339996,1
6/10/2016,98.529999,99.349998,98.480003,98.830002,31712900,98.830002,1
6/9/2016,98.5,99.989998,98.459999,99.650002,26601400,99.650002,0
6/8/2016,99.019997,99.559998,98.68,98.940002,20848100,98.940002,1
6/7/2016,99.25,99.870003,98.959999,99.029999,22409500,99.029999,1
6/6/2016,97.989998,101.889999,97.550003,98.629997,23292500,98.629997,0
6/3/2016,97.790001,98.269997,97.449997,97.919998,28504900,97.919998,0
6/2/2016,97.599998,97.839996,96.629997,97.720001,40191600,97.720001,1
6/1/2016,99.019997,99.540001,98.330002,98.459999,29173300,98.459999,1
5/31/2016,99.599998,100.400002,98.82,99.860001,42307200,99.860001,1
5/27/2016,99.440002,100.470001,99.25,100.349998,36341200,100.349998,0
5/26/2016,99.68,100.730003,98.639999,100.410004,56331200,100.410004,1
5/25/2016,98.669998,99.739998,98.110001,99.620003,38168800,99.620003,1
5/24/2016,97.220001,98.089996,96.839996,97.900002,35140200,97.900002,1
5/23/2016,95.870003,97.190002,95.669998,96.43,38018600,96.43,1
5/20/2016,94.639999,95.43,94.519997,95.220001,32026000,95.220001,0
5/19/2016,94.639999,94.639999,93.57,94.199997,30442100,94.199997,1
5/18/2016,94.160004,95.209999,93.889999,94.559998,42062400,94.559998,1
5/17/2016,94.550003,94.699997,93.010002,93.489998,46916900,93.489998,1
5/16/2016,92.389999,94.389999,91.650002,93.879997,61259800,93.879997,0
5/13/2016,90,91.669998,90,90.519997,44392800,90.519997,1
5/12/2016,92.720001,92.779999,89.470001,90.339996,76314700,90.339996,1
5/11/2016,93.480003,93.57,92.459999,92.510002,28719100,92.510002,1
5/10/2016,93.330002,93.57,92.110001,93.419998,33686800,93.419998,1
5/9/2016,93,93.769997,92.589996,92.790001,32936400,92.790001,0
5/6/2016,93.370003,93.449997,91.849998,92.720001,43699900,92.720001,1
5/5/2016,94,94.07,92.68,93.239998,35890500,93.239998,1
5/4/2016,95.199997,95.900002,93.82,94.190002,41025500,93.620002,1
5/3/2016,94.199997,95.739998,93.68,95.18,56831300,94.604009,1
5/2/2016,93.970001,94.080002,92.400002,93.639999,48160100,93.073328,0
4/29/2016,93.989998,94.720001,92.510002,93.739998,68531500,93.172721,1
4/28/2016,97.610001,97.879997,94.25,94.830002,82242700,94.256129,1
4/27/2016,96,98.709999,95.68,97.82,114602100,97.228032,1
4/26/2016,103.910004,105.300003,103.910004,104.349998,56016200,103.718514,0
4/25/2016,105,105.650002,104.510002,105.080002,28031600,104.4441,1
4/22/2016,105.010002,106.480003,104.620003,105.68,33683100,105.040467,1
4/21/2016,106.93,106.93,105.519997,105.970001,31552500,105.328713,1
4/20/2016,106.639999,108.089996,106.059998,107.129997,30611000,106.481689,1
4/19/2016,107.879997,108,106.230003,106.910004,32384900,106.263027,0
4/18/2016,108.889999,108.949997,106.940002,107.480003,60821500,106.829577,1
4/15/2016,112.110001,112.300003,109.730003,109.849998,46939000,109.18523,1
4/14/2016,111.620003,112.389999,111.330002,112.099998,25473900,111.421614,1
4/13/2016,110.800003,112.339996,110.800003,112.040001,33257300,111.36198,1
4/12/2016,109.339996,110.5,108.660004,110.440002,27232300,109.771664,1
4/11/2016,108.970001,110.610001,108.830002,109.019997,29407500,108.360251,1
4/8/2016,108.910004,109.769997,108.169998,108.660004,23581700,108.002437,1
4/7/2016,109.949997,110.419998,108.120003,108.540001,31801900,107.88316,1
4/6/2016,110.230003,110.980003,109.199997,110.959999,26404100,110.288514,1
4/5/2016,109.510002,110.730003,109.419998,109.809998,26578700,109.145471,1
4/4/2016,110.419998,112.190002,110.269997,111.120003,37356200,110.447549,1
4/1/2016,108.779999,110,108.199997,109.989998,25874000,109.324382,1
3/31/2016,109.720001,109.900002,108.879997,108.989998,25888400,108.330434,0
3/30/2016,108.650002,110.419998,108.599998,109.559998,45601100,108.896984,0
3/29/2016,104.889999,107.790001,104.879997,107.68,31190100,107.028364,1
3/28/2016,106,106.190002,105.059998,105.190002,19411400,104.553435,1
3/24/2016,105.470001,106.25,104.889999,105.669998,26133000,105.030526,0
3/23/2016,106.480003,107.07,105.900002,106.129997,25703500,105.487741,1
3/22/2016,105.25,107.290001,105.209999,106.720001,32444400,106.074174,1
3/21/2016,105.93,107.650002,105.139999,105.910004,35502700,105.269079,1
3/18/2016,106.339996,106.5,105.190002,105.919998,44205200,105.279013,0
3/17/2016,105.519997,106.470001,104.959999,105.800003,34420700,105.159744,0
3/16/2016,104.610001,106.309998,104.589996,105.970001,38303500,105.328713,1
3/15/2016,103.959999,105.18,103.849998,104.580002,40067700,103.947125,1
3/14/2016,101.910004,102.910004,101.779999,102.519997,25076100,101.899587,1
3/11/2016,102.239998,102.279999,101.5,102.260002,27408200,101.641166,0
3/10/2016,101.410004,102.239998,100.150002,101.169998,33513600,100.557758,0
3/9/2016,101.309998,101.580002,100.269997,101.120003,27201700,100.508065,1
3/8/2016,100.779999,101.760002,100.400002,101.029999,31561900,100.418606,1
3/7/2016,102.389999,102.830002,100.959999,101.870003,35828900,101.253526,1
3/4/2016,102.370003,103.75,101.370003,103.010002,46055100,102.386627,1
3/3/2016,100.580002,101.709999,100.449997,101.5,36955700,100.885763,1
3/2/2016,100.510002,100.889999,99.639999,100.75,33169600,100.140301,1
3/1/2016,97.650002,100.769997,97.419998,100.529999,50407100,99.921631,1
2/29/2016,96.860001,98.230003,96.650002,96.690002,35216300,96.104873,0
2/26/2016,97.199997,98.019997,96.580002,96.910004,28991100,96.323543,1
2/25/2016,96.050003,96.760002,95.25,96.760002,27582700,96.174449,1
2/24/2016,93.980003,96.379997,93.32,96.099998,36255700,95.51844,1
2/23/2016,96.400002,96.5,94.550003,94.690002,31942600,94.116976,0
2/22/2016,96.309998,96.900002,95.919998,96.879997,34280800,96.293718,1
2/19/2016,96,96.760002,95.800003,96.040001,35374200,95.458805,1
2/18/2016,98.839996,98.889999,96.089996,96.260002,39021000,95.677475,1
2/17/2016,96.669998,98.209999,96.150002,98.120003,44863200,97.52622,0
2/16/2016,95.019997,96.849998,94.610001,96.639999,49057900,96.055173,1
2/12/2016,94.190002,94.5,93.010002,93.989998,40351400,93.421208,1
2/11/2016,93.790001,94.720001,92.589996,93.699997,50074700,93.132962,0
2/10/2016,95.919998,96.349998,94.099998,94.269997,42343600,93.699512,1
2/9/2016,94.290001,95.940002,93.93,94.989998,44331200,94.415156,1
2/8/2016,93.129997,95.699997,93.040001,95.010002,54021400,94.43504,1
2/5/2016,96.519997,96.919998,93.690002,94.019997,46418100,93.451025,0
2/4/2016,95.860001,97.330002,95.190002,96.599998,46471700,96.015414,1
2/3/2016,95,96.839996,94.080002,96.349998,45964300,95.250077,1
2/2/2016,95.419998,96.040001,94.279999,94.480003,37357200,93.401429,1
2/1/2016,96.470001,96.709999,95.400002,96.43,40943500,95.329165,0
1/29/2016,94.790001,97.339996,94.349998,97.339996,64416500,96.228773,1
1/28/2016,93.790001,94.519997,92.389999,94.089996,55678800,93.015874,1
1/27/2016,96.040001,96.629997,93.339996,93.419998,133369700,92.353525,1
1/26/2016,99.93,100.879997,98.07,99.989998,75077000,98.848522,0
1/25/2016,101.519997,101.529999,99.209999,99.440002,51794500,98.304805,1
1/22/2016,98.629997,101.459999,98.370003,101.419998,65800500,100.262198,1
1/21/2016,97.059998,97.879997,94.940002,96.300003,52161500,95.200652,1
1/20/2016,95.099998,98.190002,93.419998,96.790001,72334400,95.685056,0
1/19/2016,98.410004,98.650002,95.5,96.660004,53087700,95.556543,1
1/15/2016,96.199997,97.709999,95.360001,97.129997,79833900,96.021171,1
1/14/2016,97.959999,100.480003,95.739998,99.519997,63170100,98.383886,1
1/13/2016,100.32,101.190002,97.300003,97.389999,62439600,96.278205,1
1/12/2016,100.550003,100.690002,98.839996,99.959999,49154200,98.818866,1
1/11/2016,98.970001,99.059998,97.339996,98.529999,49739400,97.40519,0
1/8/2016,98.550003,99.110001,96.760002,96.959999,70798000,95.853114,1
1/7/2016,98.68,100.129997,96.43,96.449997,81094400,95.348934,1
1/6/2016,100.559998,102.370003,99.870003,100.699997,68457400,99.550416,1
1/5/2016,105.75,105.849998,102.410004,102.709999,55791000,101.537472,1
1/4/2016,102.610001,105.370003,102,105.349998,67649400,104.147334,1
